File name,Tags,Visual description
accelerated--computing,"fast, high performance, processing speed, rapid execution, time to value, time to market, acceleration",A stopwatch with lines denoting speed
advanced--fraud--protection,"identity fraud, account protection, user security, authentication, authorization, role-based access",A user profile with a shield over it
advanced--threats,"emerging threats, cyberattack, threat detection, security risk, complex attacks",Small box with an X in it and large box with an X in it
agile,"agiity, agile, moving forward, continuous ",a spiraling arrow that looks like a target
agility-with-hybrid-multicloud,"hybrid cloud, deployment choice, cloud flexibility, interoperability, portability, platform agnostic",2 clouds connected to a server
analyze,"analysis, assessment, review, investigation, discovery, document inspection",File with a magnifying glass over it
analyzes--data,"analytics, connected data, pattern recognition, data relationships, analytics",Shapes in a square with lines connecting some of them
anonymous--users,"guest users, personalization, unsecure access",3 users with a question mark in the middle
application--security,"application security, secure software, application defense, DevSecOps",An application window with a shield on it
app--modernization,"application modernization, legacy transformation, application lifecycle, software evolution",4 squares with a circular arrow around it
assets,"files, documents, digital assets, content, resources",2 files
badge,"badge, certification, certified, qualified",A circle with a checkmark and a banner over it approximating a badge
bug--virus--malware," malware, virus, vulnerability, cyber risk",An insect
build,"build, create, compose, assemble, develop, module, components",Different shapes in a circle with solid and dotted lines connecting
build--leadership--and--culture,"Winning, leader, competitive",A person on a pedestal in the middle of two other people
chart--bubble--line,"analytics, data visualization, trend analysis, statistical analysis, performance",A line graph with points
chart--multi-type,"analytics, KPIs, dashboard, outcomes","4 different types of charts (bar line, etc.)"
cloud,"cloud, managed service, software service, subscription software, saas",Single cloud
cloud--infrastructure-management,"infrastructure management, hybrid, cloud orchestration, topology",Cloud and a server rack with a 2-level hierarchy chart
cloud--upload,"upload, migration, data transfer, cloud storage, publishing",Cloud with an up arrow
code--conversion,"code conversion, code analysis",a block of 1's and 0's converting to lines of text
collaboration,"teamwork, co-creation, partnership, knowledge sharing, collaboration",2 users connected
concept--insights,"concept mapping, connected insights, relationships, knowledge graph, pattern recognition, hub and spoke",4 nodes connected to a larger node
connect,"connect, integration, interoperability, ecosystem, data exchange, orchestration",Different shapes connected with arrows
continuous--security,"ongoing protection, continuous monitoring, lifecycle security, automated defense, persistent assurance",A shield with a circular arrow around it
customer--service,"customer service, help desk, assistance, call center ",Person with headset
